title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;testitem
"Eisenbarth H.; Alpers G.W.";0.0;Happy Mouth and Sad Eyes: Scanning Emotional Facial Expressions;2011;Emotion;10.1037/a0022758;There is evidence that specific regions of the face such as the eyes are particularly relevant for the decoding of emotional expressions, but it has not been examined whether scan paths of observers vary for facial expressions with different emotional content. In this study, eye-tracking was used to monitor scanning behavior of healthy participants while looking at different facial expressions. Locations of fixations and their durations were recorded, and a dominance ratio (i.e., eyes and mouth relative to the rest of the face) was calculated. Across all emotional expressions, initial fixations were most frequently directed to either the eyes or the mouth. Especially in sad facial expressions, participants more frequently issued the initial fixation to the eyes compared with all other expressions. In happy facial expressions, participants fixated the mouth region for a longer time across all trials. For fearful and neutral facial expressions, the dominance ratio indicated that both the eyes and mouth are equally important. However, in sad and angry facial expressions, the eyes received more attention than the mouth. These results confirm the relevance of the eyes and mouth in emotional decoding, but they also demonstrate that not all facial expressions with different emotional content are decoded equally. Our data suggest that people look at regions that are most characteristic for each emotion. © 2011 American Psychological Association.
"Yang Z.; Zhao J.; Jiang Y.; Li C.; Wang J.; Weng X.; Northoff G.";0.0;Altered negative unconscious processing in major depressive disorder: An exploratory neuropsychological study;2011;PLoS ONE;10.1371/journal.pone.0021881;"Objective: Major depressive disorder (MDD) has been characterized by abnormalities in emotional processing. However, what remains unclear is whether MDD also shows deficits in the unconscious processing of either positive or negative emotions. We conducted a psychological study in healthy and MDD subjects to investigate unconscious emotion processing and its valence-specific alterations in MDD patients. Methods: We combined a well established paradigm for unconscious visual processing, the continuous flash suppression, with positive and negative emotional valences to detect the attentional preference evoked by the invisible emotional facial expressions. Results: Healthy subjects showed an attentional bias for negative emotions in the unconscious condition while this valence bias remained absent in MDD patients. In contrast, this attentional bias diminished in the conscious condition for both healthy subjects and MDD. Conclusion: Our findings demonstrate for the first time valence-specific deficits specifically in the unconscious processing of emotions in MDD; this may have major implications for subsequent neurobiological investigations as well as for clinical diagnosis and therapy. © 2011 Yang et al."
"Alais D.; Cass J.; O'Shea R.P.; Blake R.";0.0;Visual sensitivity underlying changes in visual consciousness;2010;Current Biology;10.1016/j.cub.2010.06.015;When viewing a different stimulus with each eye, we experience the remarkable phenomenon of binocular rivalry: alternations in consciousness between the stimuli [1, 2]. According to a popular theory first proposed in 1901, neurons encoding the two stimuli engage in reciprocal inhibition [3-8] so that those processing one stimulus inhibit those processing the other, yielding consciousness of one dominant stimulus at any moment and suppressing the other. Also according to the theory, neurons encoding the dominant stimulus adapt, weakening their activity and the inhibition they can exert, whereas neurons encoding the suppressed stimulus recover from adaptation until the balance of activity reverses, triggering an alternation in consciousness. Despite its popularity, this theory has one glaring inconsistency with data: during an episode of suppression, visual sensitivity to brief probe stimuli in the dominant eye should decrease over time and should increase in the suppressed eye, yet sensitivity appears to be constant [9, 10]. Using more appropriate probe stimuli (experiment 1) in conjunction with a new method (experiment 2), we found that sensitivities in dominance and suppression do show the predicted complementary changes. © 2010 Elsevier Ltd All rights reserved.
"Ling S.; Hubert-Wallander B.; Blake R.";0.0;Detecting contrast changes in invisible patterns during binocular rivalry;2010;Vision Research;10.1016/j.visres.2010.09.009;When dissimilar images are presented to the two eyes, the human visual system lapses into binocular rivalry, a unique perceptual state characterized by stochastic alternations in dominance of one of the two source images over the other. Probe targets delivered to an eye during suppression phases are more difficult to detect than probes delivered during dominance phases. Nearly all probe studies have involved presenting new stimulation (e.g., a spot of light) either superimposed on or replacing the suppressed stimulus. Here, we ask whether observers can detect a reduction in the contrast of the suppressed stimulus itself. In other words, can observers detect a probe that should make an already invisible stimulus even weaker? Specifically, we compared observers' ability to detect contrast increments and contrast decrements introduced within a rival pattern during dominance and suppression. Contrast increment thresholds were elevated across all pedestal contrasts when the increment was introduced during suppression compared to during dominance, replicating previous results. Contrast decrement thresholds measured during suppression were elevated to an even greater extent, but the fact that they were obtained at all establishes that observers were able to detect probes that should make an already invisible target even more difficult to perceive. In a second experiment, we found a similar pattern of results for contrast change detection in complex images of faces as well. Based on the resulting threshold-vs.-contrast functions, we suggest that, regardless of the complexity of the image, rivalry suppression modulates the neural contrast response function through a mixture of reduced overall response gain and a shift in the contrast gain. © 2010 Elsevier Ltd.
"Ronchi R.; Revol P.; Katayama M.; Rossetti Y.; Farnè A.";0.0;Seeing your error alters my pointing: Observing systematic pointing errors induces sensori-motor after-effects;2011;PLoS ONE;10.1371/journal.pone.0021070;"During the procedure of prism adaptation, subjects execute pointing movements to visual targets under a lateral optical displacement: As consequence of the discrepancy between visual and proprioceptive inputs, their visuo-motor activity is characterized by pointing errors. The perception of such final errors triggers error-correction processes that eventually result into sensori-motor compensation, opposite to the prismatic displacement (i.e., after-effects). Here we tested whether the mere observation of erroneous pointing movements, similar to those executed during prism adaptation, is sufficient to produce adaptation-like after-effects. Neurotypical participants observed, from a first-person perspective, the examiner's arm making incorrect pointing movements that systematically overshot visual targets location to the right, thus simulating a rightward optical deviation. Three classical after-effect measures (proprioceptive, visual and visual-proprioceptive shift) were recorded before and after first-person's perspective observation of pointing errors. Results showed that mere visual exposure to an arm that systematically points on the right-side of a target (i.e., without error correction) produces a leftward after-effect, which mostly affects the observer's proprioceptive estimation of her body midline. In addition, being exposed to such a constant visual error induced in the observer the illusion ""to feel"" the seen movement. These findings indicate that it is possible to elicit sensori-motor after-effects by mere observation of movement errors. © 2011 Ronchi et al."
"Taylor R.P.; Spehar B.; van Donkelaar P.; Hagerhall C.M.";0.0;Perceptual and physiological responses to Jackson Pollock's fractals;2011;Frontiers in Human Neuroscience;10.3389/fnhum.2011.00060;Fractals have been very successful in quantifying the visual complexity exhibited by many natural patterns, and have captured the imagination of scientists and artists alike. Our research has shown that the poured patterns of the American abstract painter Jackson Pollock are also fractal. This discovery raises an intriguing possibility - are the visual characteristics of fractals responsible for the long-term appeal of Pollock's work? To address this question, we have conducted 10 years of scientific investigation of human response to fractals and here we present, for the first time, a review of this research that examines the inter-relationship between the various results. The investigations include eye tracking, visual preference, skin conductance, and EEG measurement techniques. We discuss the artistic implications of the positive perceptual and physiological responses to fractal patterns. © 2011 Taylor, Spehar, Van Donkelaar and Hagerhall.
"Denison R.N.; Piazza E.A.; Silver M.A.";0.0;Predictive context influences perceptual selection during binocular rivalry;2011;Frontiers in Human Neuroscience;10.3389/fnhum.2011.00166;Prediction may be a fundamental principle of sensory processing: it has been proposed that the brain continuously generates predictions about forthcoming sensory information. However, little is known about how prediction contributes to the selection of a conscious percept from among competing alternatives. Here, we used binocular rivalry to investigate the effects of prediction on perceptual selection. In binocular rivalry, incompatible images presented to the two eyes result in a perceptual alternation between the images, even though the visual stimuli remain constant. If predictive signals influence the competition between neural representations of rivalrous images, this influence should generate a bias in perceptual selection that depends on predictive context. To manipulate predictive context, we developed a novel binocular rivalry paradigm in which rivalrous test images were immediately preceded by a sequence of context images presented identically to the two eyes. One of the test images was consistent with the preceding image sequence (it was the expected next image in the series), and the other was inconsistent (nonpredicted). We found that human observers were more likely to perceive the consistent image at the onset of rivalry, suggesting that predictive context biased selection in favor of the predicted percept. This prediction effect was distinct from the effects of adaptation to stimuli presented before the binocular rivalry test. In addition, perceptual reports were speeded for predicted percepts relative to non-predicted percepts. These results suggest that predictive signals related to visual stimulus history exist at neural sites that can bias conscious perception during binocular rivalry. Our paradigm provides a new way to study how prior information and incoming sensory information combine to generate visual percepts. © 2011 Denison.
"Alvarez Dolado M.; Broccoli V.";0.0;GABAergic neuronal precursor grafting: Implications in brain regeneration and plasticity;2011;Neural Plasticity;10.1155/2011/384216;Numerous neurological disorders are caused by a dysfunction of the GABAergic system that impairs or either stimulates its inhibitory action over its neuronal targets. Pharmacological drugs have generally been proved very effective in restoring its normal function, but their lack of any sort of spatial or cell type specificity has created some limitations in their use. In the last decades, cell-based therapies using GABAergic neuronal grafts have emerged as a promising treatment, since they may restore the lost equilibrium by cellular replacement of the missing/altered inhibitory neurons or modulating the hyperactive excitatory system. In particular, the discovery that embryonic ganglionic eminence-derived GABAergic precursors are able to disperse and integrate in large areas of the host tissue after grafting has provided a strong rationale for exploiting their use for the treatment of diseased brains. GABAergic neuronal transplantation not only is efficacious to restore normal GABAergic activities but can also trigger or sustain high neuronal plasticity by promoting the general reorganization of local neuronal circuits adding new synaptic connections. These results cast new light on dynamics and plasticity of adult neuronal assemblies and their associated functions disclosing new therapeutic opportunities for the near future. Copyright 2011 Manuel Alvarez Dolado and Vania Broccoli.
"Valkov D.; Steinicke F.; Bruder G.; Hinrichs K.";0.0;2D touching of 3D stereoscopic objects;2011;Conference on Human Factors in Computing Systems - Proceedings;10.1145/1978942.1979142;Recent developments in the area of touch and display technologies have suggested to combine multi-touch systems and stereoscopic visualization. Stereoscopic perception requires each eye to see a slightly different perspective of the same scene, which results in two distinct projections on the display. Thus, if the user wants to select a 3D stereoscopic object in such a setup, the question arises where she would touch the 2D surface to indicate the selection. A user may apply different strategies, for instance touching the midpoint between the two projections, or touching one of them. In this paper we analyze the relation between the 3D positions of stereoscopically rendered objects and the on-surface touch points, where users touch the surface. We performed an experiment in which we determined the positions of the users' touches for objects, which were displayed with positive, negative or zero parallaxes. We found that users tend to touch between the projections for the two eyes with an offset towards the projection for the dominant eye. Our results give implications for the development of future touch-enabled interfaces, which support 3D stereoscopic visualization. Copyright 2011 ACM.
"Lai X.J.; Alexander J.; He M.; Yang Z.; Suttle C.";0.0;Visual functions and interocular interactions in anisometropic children with and without amblyopia;2011;Investigative Ophthalmology and Visual Science;10.1167/iovs.10-6755;Purpose. In uncorrected anisometropia, protracted dichoptic stimulation may result in interocular inhibition, which may be a contributing factor in amblyopia development. This study investigates the relationship between interocular interactions and anisometropic amblyopia. Methods. Three visual functions (low-contrast acuity, contrast sensitivity, and alignment sensitivity) were measured in the nondominant eye of 44 children aged 5 to 11 years: 10 with normal vision, 17 with anisometropia without amblyopia, and 17 with anisometropic amblyopia. The dominant eye was either fully or partially occluded. The difference in nondominant eye visual function between the full-and partial-occlusion conditions was termed the interaction index. The index of each visual function was compared between subject groups. A higher index indicates stronger inhibition of nondominant eye function with partial occlusion of the dominant eye. Amblyopic children had 6 months of therapy (refractive correction and occlusion), and the reduction in interocular difference in high-contrast acuity was regarded as the treatment outcome. The relationships of the interaction index with the degree of anisometropia, the severity of amblyopia, and the treatment outcomes were examined. Results. The acuity interaction index was significantly higher in anisometropic children with amblyopia than in those without (P = 0.003). It was positively correlated with the degree of anisometropia (rs = 0.35, P = 0.042) and the amblyopic treatment outcomes (rs = 0.54, P = 0.038). No such difference or association was found between the contrast sensitivity or alignment sensitivity interaction index and anisometropic amblyopia. Conclusions. Interocular interactions are associated with amblyopia, the degree of anisometropia, and amblyopia treatment outcomes, but these associations are visual function dependent. © Association for Research in Vision and Ophthalmology.
"Li J.; Lam C.S.Y.; Yu M.; Hess R.F.; Chan L.Y.L.; Maehara G.; Woo G.C.; Thompson B.";0.0;Quantifying sensory eye dominance in the normal visual system: A new technique and insights into variation across traditional tests;2010;Investigative Ophthalmology and Visual Science;10.1167/iovs.10-5549;PURPOSE. Although eye dominance assessment is used to assist clinical decision-making, current understanding is limited by inconsistencies across the range of available tests. A new psychophysical test of sensory eye dominance has been developed that objectively measures the relative contribution of each eye to a fused suprathreshold binocular percept. METHODS. Six standard tests and the newly developed test were used to measure motor and sensory dominance in a group of 44 binocularly normal individuals (mean age, 29.5 ± 9.10 years). The new test required observers to perform a motion coherence task under dichoptic viewing conditions, wherein a population of moving, luminance-defined signal (coherently moving) and noise (randomly moving) dots were presented separately to each eye. The observers judged the motion direction of the signal dots. Motion coherence thresholds were measured by varying the ratio of signal-to-noise dots, in a staircase procedure. RESULTS. The new dichoptic motion coherence threshold test revealed a clear bimodal distribution of sensory eye dominance strength, wherein the majority of the participants (61%) showed weak dominance, but a significant minority (39%) showed strong dominance. Subsequent analysis revealed that the strong-dominance group showed greater consistency across the range of traditional eye dominance tests used. CONCLUSIONS. This new quantitative dichoptic motion coherence threshold technique suggests that there are two separate sensory eye dominance strength distributions among observers. © Association for Research in Vision and Ophthalmology.
"Ohnishi T.; Sakimoto T.; Sawa M.";0.0;Case of lattice corneal dystrophy due to L527R mutation in the TGFBI gene with asymmetric corneal opacity in eye laterality;2010;Japanese Journal of Ophthalmology;10.1007/s10384-010-0882-1;[No abstract available]
"Krøyer K.; Christensen U.; la Cour M.; Larsen M.";0.0;Re-Metamorphopsia assessment before and after vitrectomy for macular hole;2010;Investigative Ophthalmology and Visual Science;10.1167/iovs.10-6082;[No abstract available]
"Fleming C.V.; Wheeler G.M.; Cannella-Malone H.I.; Basbagill A.R.; Chung Y.-C.; Day K.G.";0.0;An evaluation of the use of eye gaze to measure preference of individuals with severe physical and developmental disabilities;2010;Developmental Neurorehabilitation;10.3109/17518421003705706;Objective: The purpose of this study was to examine whether duration of eye gaze could be used to identify reinforcing stimuli for four individuals with severe physical and developmental disabilities, as well as the effectiveness of the assessment using different numbers of stimuli (i.e. 6 vs 14). Methods: This study measured each student's preferences in a paired stimulus preference assessment using duration of eye gaze toward various stimuli. Following the preference assessment, a reinforcer assessment was conducted within a reversal design to determine the accuracy of the preference hierarchy. Results: Results indicated that duration of eye gaze toward a stimulus was successful in identifying preferred stimuli that functioned as reinforcers for all participants. Additionally, the shorter preference assessment produced measures of similar accuracy in considerably less time. Conclusion: Eye gaze can be used to identify reinforcing stimuli for individuals with severe physical and developmental disabilities. © 2010 Informa UK Ltd All rights reserved.
"Hartcher-O'Brien J.; Levitan C.; Spence C.";0.0;Extending visual dominance over touch for input off the body;2010;Brain Research;10.1016/j.brainres.2010.09.036;Vision tends to dominate over touch in the majority of experimental situations, particularly when visual information is presented on, or near to, the body. We combined two visual dominance paradigms in order to investigate crossmodal interactions between vision and touch for stimuli on versus off the body: 1) The Colavita visual dominance effect, which has recently been extended to vision and touch, and 2) The rubber hand illusion, which has often been used to probe visuotactile interactions. Specifically, we investigated whether moving a visual stimulus off the participant's body would affect visual dominance, and how this dominance would be mediated by the presence/absence of a rubber hand (given the rubber hand illusion provides a way of extending the representation of one's own body in space). Participants made speeded detection/discrimination responses to a random sequence of visual-only, tactile-only, and visuotactile targets. While participants responded near-perfectly on the unimodal target trials, their performance on the visuotactile target trials was deleteriously affected by the simultaneous presentation of a visual stimulus on (as opposed to away from) their body. In particular, when the visual stimulus was presented to their fingertip, participants failed to respond to far more of the tactile than visual stimuli on bimodal trials. The magnitude of this visual dominance effect decreased significantly when the visual stimulus was moved off the body. When a rubber hand was placed at the off-body location, a similar (albeit reduced) visual dominance effect was observed in both positions. These results therefore suggest that visuotactile interactions are strongest when visual stimuli are presented on a body (no matter whom that body, or body-part, belongs to). © 2010 Elsevier B.V. All rights reserved.
"Naber M.; Gruenhage G.; Einhäuser W.";0.0;Tri-stable stimuli reveal interactions among subsequent percepts: Rivalry is biased by perceptual history;2010;Vision Research;10.1016/j.visres.2010.02.004;"In rivalry, constant stimuli allow several interpretations ("" percepts"" ). Percepts are characterized by their probability to occur and by the duration of their dominance. During continuous presentation of bi-stable stimuli, both percept probabilities are trivially 50%. To disentangle the processes triggering a percept from those stabilizing it, we introduce tri-stable stimuli having three percepts. We find the probability and dominance duration of a percept independently adjustable. Percept probabilities and dominance durations show mutual dependencies across several perceptual switches. Consequently, the current perceptual experience depends on perceptual history; therefore, rivalry - even for continuous presentation - is not a memory-less process. © 2010 Elsevier Ltd."
Whitney C.;0.0;Preface to the special issue: Neural representations in visual word recognition;2011;Brain and Language;10.1016/j.bandl.2011.03.007;[No abstract available]
"Su Y.R.; He Z.J.; Ooi T.L.";0.0;The magnitude and dynamics of interocular suppression affected by monocular boundary contour and conflicting local features;2010;Vision Research;10.1016/j.visres.2010.07.003;A monocular boundary contour (MBC) rivalry stimulus has two half-images, a homogeneous grating and the same homogeneous grating with an additional disc region. The outline/frame of the MBC disc is created by relative phase-shift, or orientation-difference. We found the increment contrast threshold and reaction time to detect a monocular Gabor probe elevated on the homogeneous half-image pedestal. The interocular suppression begins as early as 80. ms upon stimulus onset. Moreover, the suppression magnitude is larger when the MBC disc is defined by orientation-difference rather than phase-shift, revealing the suppression caused by competing local features in addition to MBC. © 2010 Elsevier Ltd.
"Sayegh R.R.; Diaz L.A.; Vargas-Martín F.; Webb R.H.; Dohlman C.H.; Peli E.";0.0;Optical functional properties of the Boston Keratoprosthesis;2010;Investigative Ophthalmology and Visual Science;10.1167/iovs.09-3372;PURPOSE. To evaluate the optical characteristics of the Boston Keratoprosthesis (KPro), identify glare sources, evaluate possible glare control, and examine the benefit of implantation when the fellow eye has normal vision. METHODS. Computed and optical-bench-measured point spread function (PSF) and glare sources were compared. A translucent plastic cornea was used to determine the impact of glare caused by scatter in the cornea and its control with a dark-iris tinted contact lens. The effect of glare in implanted eyes was measured with a brightness acuity test (BAT), with and without the dark-iris contact lens. Computed and measured visual fields were compared. Stereopsis was measured in patients with an intact fellow eye. RESULTS. Computed and measured modulation transfer functions for the KPro were found to be very close to the diffraction limit. Both the model-eye measurements and patients' BAT glare responses identified that the hazy corneal graft surrounding the KPro is the main source of glare and can be controlled with a dark-iris contact lens. The lid effectively blocks the light that would be scattered in the hazy cornea of patients in whom the type II KPro was implanted. An intact fellow eye remains the dominant eye, with better acuity, and the KPro eye supports only minimal stereo ability and does not expand the binocular visual field. CONCLUSIONS. Glare can be reduced significantly with the use of a contact lens with a dark iris. Implanting the KPro in a patient whose fellow eye has normal or near normal vision does not seem to improve visual function. © Association for Research in Vision and Ophthalmology.
Razeghinejad M.R.;0.0;Gonioscopic features in patients with acute and chronic angle-closure glaucoma;2011;Iranian Journal of Medical Sciences;0;Background: A number of ocular biometric parameters, iris hiotologic and anatomic characters have been suggested as inciting factors for converting patients with narrow angle to angle-closure glaucoma. This study was conducted to determine if there was any goniscopic difference between patients with acute angle-closure glaucoma (AACG) and chronic angle- closure glaucoma (CACG). Methods: The study is a retrospective analysis of the charts of 97 patients with asymmetric CACG and 15 patients with unilateral AACG. The age, sex, type of glaucoma, gonioscopic findings and optic nerve head cup/disc ratio were recorded for all patients. Dynamic gonioscopy and Spaeth's convention were used to grade the drainage angle. The eyes with AACG or more optic nerve damage in CACG groups were considered as involved eye, and the contralateral eyes in the AACG and CACG groups were considered as noninvolved and less-involved, respectively. Results: There was no significant difference between patients with AACG and CACG in terms of age, gender, refraction, and laterality of the involved eyes. In intragroup analysis, no significant difference was observed for distribution of iris attachment, irido-corneal angle, iris configuration, or trabecular pigmentation. In intergroup analysis, the superior iris was attached more anterior in the involved eyes of AACG compared to that in CACG (P=0.007). Moreover, the iris root attachment was also more anterior in both the superior (P=0.001) and inferior (P=0.002) angles of the noninvolved eyes of AACG vs. than those in the less-involved eyes of CACG group. Conclusion: The findings of the study indicate that there is no significant difference between the eyes with AACG or CACG in terms of goniscopic findings. However, the superior iris attachment was located more anterior in eyes with AACG compared to that in eyes with CACG.
"Chien S.H.-L.; Hsu H.-Y.; Su B.-H.";0.0;"Discriminating ""top-heavy"" versus ""bottom-heavy"" geometric patterns in 2- to 4.5-month-old infants";2010;Vision Research;10.1016/j.visres.2010.06.017;"Simion, Valenza, Macchi Cassia, Turati, and Umiltà (2002) suggested that newborns preferred "" top-heavy"" stimuli and such bias may account for neonatal face preference. However, convergent evidence for the discriminability between the top-heavy versus bottom-heavy patterns has not been demonstrated. We used a modified familiarization/novelty procedure (Chien, Palmer, & Teller, 2003) to assess basic discriminability between "" top-heavy"" and "" bottom-heavy"" geometric patterns in 2- to 4.5-month-old infants. Each infant was tested with three types of top-heavy and bottom-heavy geometric figures and received both familiarized-to-top-heavy and familiarized-to-bottom-heavy conditions. If infants of this age can discriminate the two configurations and there is no intrinsic bias toward either pattern, we expected to see significant and about equal novelty effects in both familiarization conditions. If there is a strong intrinsic bias for the top-heavy configuration, we expect to see a greater preference for the top-heavy patterns in the familiarization-to-bottom-heavy condition. Our results (N=24) showed significant and equal novelty preferences in both familiarization conditions across age and figure types, suggesting a reliable discriminability between top-heavy and bottom-heavy configurations and there is no intrinsic bias towards either configuration at this age. © 2010 Elsevier Ltd."
"Rezaee M.; Shojaee M.; Ghasemi A.; Moghaddam A.; Momeni M.";0.0;Which Factors Affect Hand Selection in Adults? Combined Effects of Ocular Dominance, Task Demand and Object Location;2010;Journal of Human Kinetics;10.2478/v10078-010-0046-x;Eighty-five right-handed subjects (39 female and 46 male, 47 being right-eye dominant and 38 being left-eye dominant) were tested on three tasks of different levels of difficulty, performed in five locations. In the current study, participants were required to pick up the tool, pick up and pantomime how to use it and pick up and actual use on the materials provided. Our goal was to evaluate how the effect of object location interacts with task difficulty on adult hand selection. We also tried to evaluate the effect of eye dominance as a biological factor on hand selection. The result showed that the frequency of preferred hand reaches was greater for pantomime and real use than the pick up condition. This effect was mediated by the position of the object in hemispace, with more right hand reaches occurring for the use and pantomime task than the pick up task. The result also revealed that there is no difference between frequency of preferred hand reaches in left- and right-eye dominant. Based on results of this study, it can be suggested that limb selection depends on task and environmental constraints, rather than a biological factor like eye dominance. © 2010, Versita. All rights reserved.
"van der Ham I.J.M.; van Strien J.W.; Oleksiak A.; van Wezel R.J.A.; Postma A.";0.0;Temporal characteristics of working memory for spatial relations: An ERP study;2010;International Journal of Psychophysiology;10.1016/j.ijpsycho.2010.04.008;"Spatial relations can be represented categorically, by means of abstract labels, or coordinately, in metric, absolute measures. These representations have been associated to the left and the right hemispheres respectively (Kosslyn, 1987). Recent studies have focused on the temporal dynamics of spatial relation processing, with working memory task designs. In this light, we examined the suggested lateralization effect in an ERP study incorporating a visual half field match-to-sample design, in which two sequentially presented stimuli were compared. By manipulating the length of the retention intervals between the two stimuli (500. ms, 2000. ms, and 5000. ms), spatial working memory effects were studied at three separate stages of working memory; encoding, memorization, and retrieval. The hypothesized interaction of instruction and visual field was found in the behavioural data, restricted to the 2000. ms retention interval. The EEG data indicate a strong overall right hemisphere effect, which is likely related to spatial working memory in general. Categorical and coordinate processing appears to already differentiate during the encoding stage in the P300 complex (300-500. ms after presentation of the first stimulus), where instruction interacts significantly with hemisphere in the parietal area. We found a clear right hemisphere advantage for coordinate processing and no lateralization for categorical processing. We argue that the outcome indicates qualitative rather than quantitative differences between categorical and coordinate processing. © 2010 Elsevier B.V."
"Naber M.; Frässle S.; Einhäuser W.";0.0;Perceptual rivalry: Reflexes reveal the gradual nature of visual awareness;2011;PLoS ONE;10.1371/journal.pone.0020910;"Rivalry is a common tool to probe visual awareness: a constant physical stimulus evokes multiple, distinct perceptual interpretations (""percepts"") that alternate over time. Percepts are typically described as mutually exclusive, suggesting that a discrete (all-or-none) process underlies changes in visual awareness. Here we follow two strategies to address whether rivalry is an all-or-none process: first, we introduce two reflexes as objective measures of rivalry, pupil dilation and optokinetic nystagmus (OKN); second, we use a continuous input device (analog joystick) to allow observers a gradual subjective report. We find that the ""reflexes"" reflect the percept rather than the physical stimulus. Both reflexes show a gradual dependence on the time relative to perceptual transitions. Similarly, observers' joystick deflections, which are highly correlated with the reflex measures, indicate gradual transitions. Physically simulating wave-like transitions between percepts suggest piece-meal rivalry (i.e., different regions of space belonging to distinct percepts) as one possible explanation for the gradual transitions. Furthermore, the reflexes show that dominance durations depend on whether or not the percept is actively reported. In addition, reflexes respond to transitions with shorter latencies than the subjective report and show an abundance of short dominance durations. This failure to report fast changes in dominance may result from limited access of introspection to rivalry dynamics. In sum, reflexes reveal that rivalry is a gradual process, rivalry's dynamics is modulated by the required action (response mode), and that rapid transitions in perceptual dominance can slip away from awareness. © 2011 Naber et al."
"Zhang P.; Bobier W.; Thompson B.; Hess R.F.";0.0;Binocular balance in normal vision and its modulation by mean luminance;2011;Optometry and Vision Science;10.1097/OPX.0b013e3182217295;"Purpose.: To better understand the neural basis of sensory dominance in the normal population, we applied a recently established test designed to quantify the degree of suppression in amblyopia to participants with normal binocular vision. Methods.: This test quantifies the degree of dichoptic imbalance in coherent motion sensitivity by manipulating the contrast of stimuli seen by the two eyes. The contrast at which balanced dichoptic motion sensitivity occurs is referred to as the ""balance point"" and is an estimate of the degree of suppression. We apply the same logic to the measurement of sensory dominance by measuring the distribution of ""balance points"" within the normal population. Results.: We show that although most subjects are balanced or only weakly imbalanced, a minority is strongly imbalanced. To ascertain the site of sensory dominance, we assessed the degree to which normal sensory balance can be modulated by changing the interocular mean luminance. We found that mismatches in mean luminance between the two eyes had a pronounced effect on the balance point determination. Conclusions.: Because cells in the lateral geniculate nucleus exhibit a strong modulation to sustained changes in the mean light level, this may suggests that the inhibitory circuits underlying sensory eye dominance are located at a precortical site. Copyright © 2011 American Academy of Optometry."
"Nakayama N.; Kawamorita T.; Uozato H.";0.0;Influence of refractive correction on ocular dominance;2010;Optical Review;10.1007/s10043-010-0077-5;We investigated the effects of refractive correction and refractive defocus on the assessment of sensory ocular dominance. In 25 healthy subjects (4 males and 21 females) aged between 20 and 31 years, a quantitative measurement of sensory ocular dominance was performed with refractive correction and the addition of a positive lens on the dominant eye. Sensory ocular dominance was measured with a chart using binocular rivalry targets. The reversal point changed after the addition of a +1.00 D lens on the dominant eye in all subjects. However, sighting ocular dominance and stereopsis did not change after the addition of a positive lens on the dominant eye (P > 0.05, Wilcoxon test). These results suggest that refractive correction affects sensory ocular dominance, indicating the possible development of a new type of occlusion for amblyopia in the future. © 2010 The Optical Society of Japan.
"Kang M.-S.; Blake R.";0.0;What causes alternations in dominance during binocular rivalry?;2010;Attention, Perception, and Psychophysics;10.3758/APP.72.1.179;"Several mechanisms have been proposed to account for perceptual alterations during binocular rivalry, including neural adaptation and neural noise. However, the importance of neural adaptation for producing perceptual alterations has been challenged in several articles (Y.-J. Kim, Grabowecky, & Suzuki, 2006; Moreno-Bote, Rinzel, & Rubin, 2007). We devised an ""online"" adaptation procedure to reexamine the role of adaptation in binocular rivalry. Periods of adaptation inserted into rivalry observation periods parametricaliy alter the dynamics of rivalry such that increased adaptation duration decreases dominance duration, which cannot be accounted for by neural noise. Analysis of the average dominance durations and their variance (coefficient of variation) provides evidence for an increasingly important role of noise in rivalry alternations as a given dominance period continues in time, consistent with recent computational models. © 2010 The Psychonomic Society, Inc."
"Papas E.B.; Keay L.; Golebiowski B.";0.0;Estimating a just-noticeable difference for ocular comfort in contact lens wearers;2011;Investigative Ophthalmology and Visual Science;10.1167/iovs.10-7051;Purpose. To estimate the just-noticeable difference (JND) in ocular comfort rating by human, contact lens-wearing subjects using 1 to 100 numerical scales. Methods. Ostensibly identical, new contact lenses were worn simultaneously in both eyes by 40 subjects who made individual comfort ratings for each eye using a 100-point numerical ratings scale (NRS). Concurrently, interocular preference was indicated on a five-point Likert scale (1 to 5: strongly prefer right, slightly prefer right, no preference, slightly prefer left, strongly prefer left, respectively). Differences in NRS comfort score (ΔC) between the right and left eyes were determined for each Likert scale preference criteria. The distribution of group ΔC scores was examined relative to alternative definitions of JND as a means of estimating its value. Results. For Likert scores indicating the presence of a slight interocular preference, absolute ΔC ranged from 1 to 30 units with a mean of 7.4 ± 1.3 (95% confidence interval) across all lenses and trials. When there was no Likert scale preference expressed between the eyes, absolute ΔC did not exceed 5 units. Conclusions. For ratings of comfort using a 100-point numerical rating scale, the inter-ocular JND is unlikely to be less than 5 units. The estimate for the average value in the population was approximately 7 to 8 units. These numbers indicate the lowest level at which changes in comfort measured with such scales are likely to be clinically significant. © 2011 The Association for Research in Vision and Ophthalmology, Inc.
