;title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;other;backtracking
310;TouchCounters: designing interactive electronic labels for physical containers;Yarin, Paul and Ishii, Hiroshi;1999;Proceedings of the SIGCHI Conference on Human Factors in Computing Systems;0;10.1145/302979.303110;"We present TouchCounters, an integrated system of electronic
modules, physical storage containers, and shelving surfaces for the
support of collaborative physical work. Through physical sensors
and local displays, TouchCounters record and display usage history
information upon physical storage containers, thus allowing access
to this information during the performance of real-world tasks. A
distributed communications network allows this data to be exchanged
with a server, such that users can access this information from
remote locations as well.Based upon prior work in ubiquitous computing and tangible
interfaces, TouchCounters incorporate new techniques, including
usage history tracking for physical objects and multi-display
visualization. This paper describes the components, interactions,
implementation, and conceptual approach of the TouchCounters
system. [duplicate?]";0;0;0;0;0;0;1;0;0
311;Tribo Tribe: Triboelectric Interaction Sensing with 3D Physical Interfaces;Liu, Xin and Han, Bo and Zheng, Clement and Yen, Ching Chiuan;2022;Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems;0;10.1145/3491101.3519759;This research introduces “Tribo Tribe”, a technique for fabricating 3D tangible interactive interfaces capable of sensing movement inputs through ubiquitous materials. Tribo Tribe is built on the working principle of Triboelectric Nanogenerators (TENG) to enable self-powered sensing to 3D systems. We introduce a tool kit that facilitates designers and makers to easily customise both prototyping and sensing through TENG technology. We also demonstrate four design possibilities for different fields to illustrate how Tribo Tribe can instrument TENG into 3D physical interactive prototypes (Figure 1).;0;0;0;0;0;0;1;0;0
322;TouchSound: making sounds with everyday objects;Peng, Huaishu;2010;Proceedings of the Fifth International Conference on Tangible, Embedded, and Embodied Interaction;0;10.1145/1935701.1935820;In this paper I am presenting TouchSound, a wearable device that generates sounds and music by interacting with everyday objects by hand. By mixing tactile and auditory sensations, TouchSound promotes enjoyable musical experiences. It could be used by musicians to explore new ways to perform music, for educators to teach music to kids, and provide an opportunity for people to play music by touching everyday objects.;0;0;0;0;0;0;1;0;0
323;Fillables: everyday vessels as tangible controllers with adjustable haptics;Corsten, Christian and Wacharamanotham, Chat and Borchers, Jan;2013;CHI '13 Extended Abstracts on Human Factors in Computing Systems;0;10.1145/2468356.2468732;We introduce Fillables: low-cost and ubiquitous everyday vessels that are appropriated as tangible controllers whose haptics are tuned ad-hoc by filling, e.g., with water. We show how Fillables can assist users in video navigation and drawing tasks with physical controllers whose adjustable output granularity harmonizes with their haptic feedback. As proof of concept, we implemented a drawing application that uses vessels to control a virtual brush whose stroke width corresponds to the filling level. Furthermore, we found that humans can distinguish nine levels of haptic feedback when sliding water-filled paper cups (300 ml capacity) over a wooden surface. This discrimination follows Weber's Law and was facilitated by sloshing of water.;0;0;0;0;0;0;1;0;0
327;LumiTouch: an emotional communication device;Chang, Angela and Resner, Ben and Koerner, Brad and Wang, XingChen and Ishii, Hiroshi;2001;CHI '01 Extended Abstracts on Human Factors in Computing Systems;0;10.1145/634067.634252;We present the Lumitouch system consisting of a pair of interactive picture frames. When one user touches her picture frame, the other picture frame lights up. This touch is translated to light over an Internet connection. We introduce a semi-ambient display that can transition seamlessly from periphery to foreground in addition to communicating emotional content. In addition to enhancing the communication between loved ones, people can use LumiTouch to develop a personal emotional language.Based upon prior work on telepresence and tangible interfaces, LumiTouch explores emotional communication in tangible form. This paper describes the components, interactions, implementation and design approach of the LumiTouch system.;0;0;0;0;0;0;1;0;0
331;KeyStub: A Passive RFID-based Keypad Interface Using Resonant Stubs;Nolan, John and Qian, Kun and Zhang, Xinyu;2024;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;0;10.1145/3631442;The proliferation of the Internet of Things is calling for new modalities that enable human interaction with smart objects. Recent research has explored RFID tags as passive sensors to detect finger touch. However, existing approaches either rely on custom-built RFID readers or are limited to pre-trained finger-swiping gestures. In this paper, we introduce KeyStub, which can discriminate multiple discrete keystrokes on an RFID tag. KeyStub interfaces with commodity RFID ICs with multiple microwave-band resonant stubs as keys. Each stub's geometry is designed to create a predefined impedance mismatch to the RFID IC upon a keystroke, which in turn translates into a known amplitude and phase shift, remotely detectable by an RFID reader. KeyStub combines two ICs' signals through a single common-mode antenna and performs differential detection to evade the need for calibration and ensure reliability in heavy multi-path environments. Our experiments using a commercial-off-the-shelf RFID reader and ICs show that up to 8 buttons can be detected and decoded with accuracy greater than 95%. KeyStub points towards a novel way of using resonant stubs to augment RF antenna structures, thus enabling new passive wireless interaction modalities.;0;0;0;0;0;0;1;0;0
334;SurfaceSight: A New Spin on Touch, User, and Object Sensing for IoT Experiences;Laput, Gierad and Harrison, Chris;2019;Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems;0;10.1145/3290605.3300559;"IoT appliances are gaining consumer traction, from smart thermostats to smart speakers. These devices generally have limited user interfaces, most often small buttons and touchscreens, or rely on voice control. Further, these devices know little about their surroundings unaware of objects, people and activities happening around them. Consequently, interactions with these ""smart"" devices can be cumbersome and limited. We describe SurfaceSight, an approach that enriches IoT experiences with rich touch and object sensing, offering a complementary input channel and increased contextual awareness. For sensing, we incorporate LIDAR into the base of IoT devices, providing an expansive, ad hoc plane of sensing just above the surface on which devices rest. We can recognize and track a wide array of objects, including finger input and hand gestures. We can also track people and estimate which way they are facing. We evaluate the accuracy of these new capabilities and illustrate how they can be used to power novel and contextually-aware interactive experiences.";0;0;0;0;0;0;1;0;0
342;Bottles as a minimal interface to access digital information;Ishii, Hiroshi and Mazalek, Ali and Lee, Jay;2001;CHI '01 Extended Abstracts on Human Factors in Computing Systems;0;10.1145/634067.634180;"We present the design of a minimal interface to access digital information using glass bottles as ""containers"" and ""controls"". The project illustrates our attempt to explore the transparency of an interface that weaves itself into the fabric of everyday life, and exploits the emotional aspects of glass bottles that are both tangible and visual. This paper describes the design of the bottle interface, and the implementation of the musicBottles installation, in which the opening of each bottle releases the sound of a specific instrument.";0;0;0;0;0;0;1;0;0
506;Investigating Universal Appliance Control through Wearable Augmented Reality;"Becker, Vincent and Rauchenstein, Felix and S\""{o}r\""{o}s, G\'{a}bor";2019;Proceedings of the 10th Augmented Human International Conference 2019;0;10.1145/3311823.3311853;The number of interconnected devices around us is constantly growing. However, it may become challenging to control all these devices when control interfaces are distributed over mechanical elements, apps, and configuration webpages. We investigate interaction methods for smart devices in augmented reality. The physical objects are augmented with interaction widgets, which are generated on demand and represent the connected devices along with their adjustable parameters. For example, a loudspeaker can be overlaid with a controller widget for its volume. We explore three ways of manipulating the virtual widgets: (a) in-air finger pinching and sliding, (b) whole arm gestures rotating and waving, (c) incorporating physical objects in the surrounding and mapping their movements to the interaction primitives. We compare these methods in a user study with 25 participants and find significant differences in the preference of the users, the speed of executing commands, and the granularity of the type of control.;0;0;0;0;0;0;1;0;0
518;Turning everyday objects into passive tangible controllers;Drogemuller, Adam and Walsh, James and Smith, Ross T. and Adcock, Matt and Thomas, Bruce H;2021;Proceedings of the Fifteenth International Conference on Tangible, Embedded, and Embodied Interaction;0;10.1145/3430524.3442460;In augmented reality (AR), gesture/hand-based interactions are becoming more common place over tangible user interfaces (TUIs) and physical controllers. Major concerns regard portability and battery-life with TUIs and physical controllers in an AR environment. For a TUI or physical controller to be usable ”on the go” and in the field, they need to be compact such that they can be easily deployable. Subsequently, it is desirable to be low-energy or powerless, such that the device remains functional after long periods. In this paper, we present our initial design towards a powerless, passive controller that leverages the optical camera of a AR head-mounted display (such as the Hololens or Magic Leap) for tracking. We discuss related work, design motivations, high and low fidelity designs, opportunistic/adaptable input modalities, and use cases. We conclude with propositions for future work.;0;0;0;0;0;0;1;0;0
589;Affordance-Based and User-Defined Gestures for Spatial Tangible Interaction;Gong, Weilun and Santosa, Stephanie and Grossman, Tovi and Glueck, Michael and Clarke, Daniel and Lai, Frances;2023;Proceedings of the 2023 ACM Designing Interactive Systems Conference;0;10.1145/3563657.3596032;Although mid-air hand gestures have been widely adopted by VR/AR products (e.g., Quest 2 and HoloLens), some drawbacks remain due to their lack of tangibility and tactile feedback. Opportunistic Tangible User Interfaces could address these shortcomings by repurposing existing objects in one's physical environment. However, there has yet to be a systematic investigation of the gestures that would be desirable when using opportunistic objects or how such gestures would be impacted by such objects. In this work, we conducted an elicitation study to investigate the desirability of object and gesture combinations across a variety of interactions. The results contribute (1) an opportunistic tangible UI gesture set for spatial interfaces, and (2) an Affordance-Based Object Selector Scheme that identifies ideal objects for tangible input given a desired input gesture, based on that object's physical affordances. Arising from these findings is the vision of the Adaptive Tangible User Interface, which supports the on-the-fly composition of tangible interfaces based on the affordances found in the physical environment and a user's input task.;0;0;0;0;0;0;1;0;0
1343;Opportunistic Tangible User Interfaces for Augmented Reality;Henderson, Steven and Feiner, Steven;2010;IEEE Transactions on Visualization and Computer Graphics;0;10.1109/TVCG.2009.91;Opportunistic Controls are a class of user interaction techniques that we have developed for augmented reality (AR) applications to support gesturing on, and receiving feedback from, otherwise unused affordances already present in the domain environment. By leveraging characteristics of these affordances to provide passive haptics that ease gesture input, Opportunistic Controls simplify gesture recognition, and provide tangible feedback to the user. In this approach, 3D widgets are tightly coupled with affordances to provide visual feedback and hints about the functionality of the control. For example, a set of buttons can be mapped to existing tactile features on domain objects. We describe examples of Opportunistic Controls that we have designed and implemented using optical marker tracking, combined with appearance-based gesture recognition. We present the results of two user studies. In the first, participants performed a simulated maintenance inspection of an aircraft engine using a set of virtual buttons implemented both as Opportunistic Controls and using simpler passive haptics. Opportunistic Controls allowed participants to complete their tasks significantly faster and were preferred over the baseline technique. In the second, participants proposed and demonstrated user interfaces incorporating Opportunistic Controls for two domains, allowing us to gain additional insights into how user interfaces featuring Opportunistic Controls might be designed.;0;0;0;0;0;0;1;0;0
1409;User-Defined Interaction Using Everyday Objects for Augmented Reality First Person Action Games;Greenslade, Mac and Clark, Adrian and Lukosch, Stephan;2022;2022 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW);0;10.1109/VRW55335.2022.00272;In this paper, we present an elicitation study to explore how people use everyday objects for augmented reality first person games. 24 participants were asked to select items from a range of everyday objects to use as controllers for three different classes of virtual object. Participants completed tasks using their selected items and rated the experience using the Augmented Reality Immersion (ARI) questionnaire. Results indicate no strong consensus linking any specific everyday object to any virtual object across our testing population. Based on these findings, we recommend developers provide the ability for users to choose the everyday objects they prefer.;0;0;0;0;0;0;1;0;0
1459;Save the Space Elevator: An Escape Room Scenario Involving Passive Haptics in Mixed Reality;Davari, Shakiba and Li, Yuan and Lisle, Lee and Lu, Feiyu and Zhang, Lei and Blustein, Leslie and Feng, Xueting and Gabaldon, Brianna and Kwiatkowski, Marc and Bowman, Doug A.;2019;2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR);0;10.1109/VR.2019.8798051;This paper presents our solution to the 2019 3DUI Contest challenge, which focuses on passive haptics. We aimed to provide a compelling user experience in virtual reality while overcoming the limitations of physical space and current tracking devices. To meet these goals, we designed a time travel scenario that incorporates several novel features. A time machine increases efficiency in the use of physical space. A passive haptic camera prop provides a help system that is integrated into the storyline. Finally, the concept of a “temporal stabilizer” provides a plausible way to reuse a single tracking device to track multiple passive haptic props.;0;0;0;0;0;0;1;0;0
1460;A Collaborative Virtual Reality Escape Room with Passive Haptics;Hanus, Austin and Hoover, Mindy and Lim, Alex and Miller, Jack;2019;2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR);0;10.1109/VR.2019.8798241;Escape rooms have recently become a popular way to socialize and problem solve in an immersive environment. However, it can be difficult and expensive to create elaborate escape rooms with realistic props. Virtual reality (VR) technology allows developers to create and customize escape rooms more easily. However, to truly make the VR escape room immersive, physical and cooperative interactions are necessary. In this paper, the authors propose and demonstrate a two-player VR escape room developed for the HTC Vive. Physical interactions were made possible by using passive haptics in the form of simple props tracked using HTC Vive trackers and controllers. Additionally, the HTC Vives were networked, and players hands were tracked using the Leap Motion to provide head and hand position cues to teammates.;0;0;0;0;0;0;1;0;0
1462;Crystal Palace: Merging Virtual Objects and Physical Hand-held Tools;Kashiwagi, Toshiro and Sumi, Kaoru and Fels, Sidney and Zhou, Qian and Wu, Fan;2019;2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR);0;10.1109/VR.2019.8798370;We developed a mixed-reality approach, called Crystal Palace, which provides prop-based passive haptic feedback for the 3DUI contest. In this system, we propose an interface of controlling virtual object with physical tools such as scissors, a spray and a screwdriver as game controllers. Our prop-based approach provides natural visual affordance and passive haptics by associating physical tools with various 3D tasks. Using 360 degrees spherical display, players will be able to use common real-world tools in an intuitive way to interact with 3D objects in a virtual escape room.;0;0;0;0;0;0;1;0;0
1475;Wormholes in VR: Teleporting Hands for Flexible Passive Haptics;Ban, Reigo and Matsumoto, Keigo and Narumi, Takuji and Kuzuoka, Hideaki;2022;2022 IEEE International Symposium on Mixed and Augmented Reality (ISMAR);0;10.1109/ISMAR55827.2022.00093;Presenting haptic feedback in virtual reality (VR) is a long-standing challenge, with passive haptics being one way of presenting haptic feedback inexpensively. However, passive haptics requires props in physical environments that are co-located with their virtual counterparts, which is often not the case in the real world. Although redirected hands and other methods have previously been proposed to solve this problem, significant differences between the displayed and actual hand positions can cause the degradation of presence and sense of embodiment, limiting the range of presentable environments. In this study, we present a new hand displacement method called wormholes, in which the virtual hand is teleported discontinuously as the user inserts their hand into the hole. The experiment showed that the wormhole could maintain the sense of embodiment, presence, and task performance even with large hand displacements. Our method enables to apply passive haptics even when the actual and virtual environments are quite different, contributing to the realization of inexpensive and flexible haptic presentation in VR applications.;0;0;0;0;0;0;1;0;0
1476;Beyond the Tyranny of the Pixel: Exploring the Physicality of Information Visualization;Moere, Andrew Vande;2008;2008 12th International Conference Information Visualisation;0;10.1109/IV.2008.84;This paper consists of a review of contemporary methods that map and materialize abstract data as physical artifacts. With computing technology and the access of information influencing every aspect of our everyday lives, one can question the current habit of information displays to dasiasimulatepsila real world metaphors, and whether information could instead be conveyed by approximating the analogue and tangible characteristics of our daily experiences. This paper introduces five different degrees of dasiadata physicalitypsila, which differ in the level of abstraction of how data is mapped and perceived by human senses: ambient display, pixel sculptures, object augmentation, data sculptures and alternative modality. This categorization demonstrates the potential of information visualization as a communication medium in its own right, which proliferates beyond the ubiquitous pixel-based, light-emitting surfaces of today.;0;0;0;0;0;0;1;0;0
1482;Kuka: An Architecture for Associating an Augmented Artefact with Its User Using Wearable Sensors;Fujinami, Kaori and Pirttikangas, Susanna;2008;2008 IEEE International Conference on Sensor Networks, Ubiquitous, and Trustworthy Computing (sutc 2008);0;10.1109/SUTC.2008.42;In this paper, we present an architecture for associating a person and an artefact (a daily object) utilized by him/her in an ad-hoc and extensible manner. The proximity of the acceleration signal patterns from wearable sensors on different parts of the body and sensor augmented artefacts are utilized for making an association. The proposed architecture also provides a filtering facility to reduce the possibility of miss-association between an artefact and a person who is using a different artefact in a similar way but just exists in close vicinity. With the association information, a system can provide a more reliable context-aware service as the particular role of an artefact and the proprietary nature of such an accessory gives additional knowledge for the system. A distributed architecture and a correlation coefficient based approach is realized. We describe the design, a prototype implementation and a basic experiment.;0;0;0;0;0;0;1;0;0
1491;Using the Visuo-Haptic Illusion to Perceive and Manipulate Different Virtual Objects in Augmented Reality;Zhang, Li and He, Weiping and Hu, Yupeng and Wang, Shuxia and Bai, Huidong and Billinghurst, Mark;2021;IEEE Access;0;10.1109/ACCESS.2021.3121390;The prop-based 3D virtual object manipulation method is widely used for interaction in Augmented Reality (AR) due to its convenience and flexibility. However, when the represented virtual object is different from the physical prop, the look and feel of the object are not well aligned. To address this problem, we present a dynamic finger remapping approach to creating a visuo-haptic illusion that dynamically adjusts the presented virtual hand posture to fit different sizes and shapes of virtual objects in AR. The finger movement toward a physical prop is synchronously remapped to the movement of the virtual fingers towards the corresponding virtual object. We developed a system that enables users to perceive consistent visual and tactile feedback while grasping and releasing various virtual objects represented by a physical prop. We conducted a user study to explore the effect of this visuo-haptic illusion on the perceived size of virtual objects, setting the sizes of the rendered virtual object and the physical prop as independent variables. We found that the perceived size of a virtual object varied with its rendered size in an almost linear fashion, while the physical prop size did not significantly affect the perception. We also conducted a second study to compare our system with a current prop-based method on virtual object manipulation. The results indicated that the remapped hands could effectively improve the realism and naturalness of the experience.;0;0;0;0;0;0;1;0;0
3993;Interactive Space Generation through Play Exploring Form Creation and the Role of Simulation on the Design Table;Schieck, Ava Fatah Gen. and Penn, Alan and Mottram, Chiron and Strothmann, Andreas and Ohlenburg, Jan and Broll, Wolfgang and Aish, Francis;2004;Interactive Space Generation through Play Exploring Form Creation and the Role of Simulation on the Design Table;0;https://discovery.ucl.ac.uk/id/eprint/126/1/eCAADe2004.pdf;In this paper we report on recent developments in ARTHUR: an approach to support complex design and planning decisions for architects together with the simulation of pedestrian movement and the integration of existing CAD tools on the design table. Following a brief introduction, past and current work that has taken a similar approach will be reviewed. Next we describe a scenario that integrates agent-based simulations of pedestrian movement with space creation, and then give an overview of the system before finally discussing findings related to recent user evaluation studies of the system. This paper suggests that the integration of simulated pedestrian movement on the design table, while going through a cycle of reflection-in-action, plays a vital role in exploring possible design solutions and encourages new and different ways of thinking about design problems. © 2004, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.;0;0;0;0;0;0;1;0;0
